,CONCESIONARIO,EMPRESA,GRUPO,INGRESOS_TOTAL_E
63,FRANCISCO GUERRA GARCIA,FRANCISCO GUERRA GARCIA,FRANCISCO GUERRA GARCIA,8211222.0
149,"TELECABLE DE COAHUAYANA, S.A. DE C.V.",TELECABLE DE COAHUAYANA,TELECABLE DE COAHUAYANA,7994366.25
7,ALEJANDRO MELGAREJO CORTES,ALEJANDRO MELGAREJO CORTES,ALEJANDRO MELGAREJO CORTES,7759103.399999999
24,"CABLE WEB, S.A. DE C.V.",TELEWEB,TELEWEB,7400411.23
121,"PROTOKOL TELECOMUNICACIONES, S.A. DE C.V.",PROTOKOL TELECOMUNICACIONES,PROTOKOL TELECOMUNICACIONES,7313137.859999999
82,"IBO CELL, S.A.P.I. DE C.V.",BUENO CELL,BUENO CELL,7300991.659999999
139,"SISTV.TELECOMUNICACIONES, S.A. DE C.V.",SISTV,SISTV,6533160.42
6,ALEJANDRO ALFONSO MELGAREJO ALTAMIRANO,ALEJANDRO ALFONSO MELGAREJO ALTAMIRANO,ALEJANDRO ALFONSO MELGAREJO ALTAMIRANO,6246156.199999999
48,"COSMORED LA HUERTA, S.A. DE C.V.",COSMORED LA HUERTA,COSMORED,6189105.0
66,GENY MARGARITA MOGUEL REJON,GENY MARGARITA MOGUEL REJON,GENY MARGARITA MOGUEL REJON,6044162.869999999
117,"OPERADORA BAPA, S.A. DE C.V.",TVDIG,TVDIG,6023883.07
100,"LUMENET COMUNICACIONES, S. DE R.L. DE C.V.",LUMENET COMUNICACIONES,LUMENET COMUNICACIONES,5965897.35
3,"AGREGADORA DE INTELIGENCIA EN NEGOCIOS TECNOLOGICOS, S.A. DE C.V.",ADDINTELI,ADDINTELI,5534961.0
10,"ANKLA, S.A. DE C.V.",ANKLA,ANKLA,5437985.0
77,"HERMOVISION, S. DE R.L. DE C.V.",HERMOVISION,HERMOVISION,4917794.0
62,"EYCO DE LOS ALTOS, S. DE R.L. DE C.V.",EYCO DE LOS ALTOS,EYCO DE LOS ALTOS,4796982.79
112,NATALIA CHAREEVA,NET LINK,NET LINK,4756865.0
116,"OPENIP COMUNICACIONES, S.A. DE C.V.",TOKA MOVIL,TOKA MOVIL,4720179.69
